wordform	lemma	msd
Ajdučiću	Ajdučić	Npmsv
Ajvaz	Ajvaz	Npfpa
Ajvaz	Ajvaz	Npfpd
Ajvaz	Ajvaz	Npfpg
Ajvaz	Ajvaz	Npfpi
Ajvaz	Ajvaz	Npfpl
Ajvaz	Ajvaz	Npfpn
Ajvaz	Ajvaz	Npfpv
Ajvaz	Ajvaz	Npfsa
Ajvaz	Ajvaz	Npfsd
Ajvaz	Ajvaz	Npfsg
Ajvaz	Ajvaz	Npfsi
Ajvaz	Ajvaz	Npfsl
Ajvaz	Ajvaz	Npfsn
Ajvaz	Ajvaz	Npfsv
Ajvaze	Ajvaz	Npmpa
Ajvazima	Ajvaz	Npmpd
Ajvaza	Ajvaz	Npmpg
Ajvazima	Ajvaz	Npmpi
Ajvazima	Ajvaz	Npmpl
Ajvazi	Ajvaz	Npmpn
Ajvazi	Ajvaz	Npmpv
Ajvaza	Ajvaz	Npmsay
Ajvazu	Ajvaz	Npmsd
Ajvaza	Ajvaz	Npmsg
Ajvazom	Ajvaz	Npmsi
Ajvazu	Ajvaz	Npmsl
Ajvaz	Ajvaz	Npmsn
Ajvaze	Ajvaz	Npmsv
Aksentić	Aksentić	Npfpa
Aksentić	Aksentić	Npfpd
Aksentić	Aksentić	Npfpg
Aksentić	Aksentić	Npfpi
Aksentić	Aksentić	Npfpl
Aksentić	Aksentić	Npfpn
Aksentić	Aksentić	Npfpv
Aksentić	Aksentić	Npfsa
Aksentić	Aksentić	Npfsd
Aksentić	Aksentić	Npfsg
Aksentić	Aksentić	Npfsi
Aksentić	Aksentić	Npfsl
Aksentić	Aksentić	Npfsn
Aksentić	Aksentić	Npfsv
Aksentiće	Aksentić	Npmpa
Aksentićima	Aksentić	Npmpd
Aksentića	Aksentić	Npmpg
Aksentićima	Aksentić	Npmpi
Aksentićima	Aksentić	Npmpl
Aksentići	Aksentić	Npmpn
Aksentići	Aksentić	Npmpv
Aksentića	Aksentić	Npmsay
Aksentiću	Aksentić	Npmsd
Aksentića	Aksentić	Npmsg
Aksentićem	Aksentić	Npmsi
Aksentiću	Aksentić	Npmsl
Aksentić	Aksentić	Npmsn
Aksentiću	Aksentić	Npmsv
Aksić	Aksić	Npfpa
Aksić	Aksić	Npfpd
Aksić	Aksić	Npfpg
Aksić	Aksić	Npfpi
Aksić	Aksić	Npfpl
Aksić	Aksić	Npfpn
Aksić	Aksić	Npfpv
Aksić	Aksić	Npfsa
Aksić	Aksić	Npfsd
Aksić	Aksić	Npfsg
Aksić	Aksić	Npfsi
Aksić	Aksić	Npfsl
Aksić	Aksić	Npfsn
Aksić	Aksić	Npfsv
Aksiće	Aksić	Npmpa
Aksićima	Aksić	Npmpd
Aksića	Aksić	Npmpg
Aksićima	Aksić	Npmpi
Aksićima	Aksić	Npmpl
Aksići	Aksić	Npmpn
Aksići	Aksić	Npmpv
Aksića	Aksić	Npmsay
Aksiću	Aksić	Npmsd
Aksića	Aksić	Npmsg
Aksićem	Aksić	Npmsi
Aksiću	Aksić	Npmsl
Aksić	Aksić	Npmsn
Aksiću	Aksić	Npmsv
Aksu	Akso	Npmsay
Aksi	Akso	Npmsd
Akse	Akso	Npmsg
Aksom	Akso	Npmsi
Aksi	Akso	Npmsl
Akso	Akso	Npmsn
Akso	Akso	Npmsv
Akšam	Akšam	Npfpa
Akšam	Akšam	Npfpd
Akšam	Akšam	Npfpg
Akšam	Akšam	Npfpi
Akšam	Akšam	Npfpl
Akšam	Akšam	Npfpn
Akšam	Akšam	Npfpv
Akšam	Akšam	Npfsa
Akšam	Akšam	Npfsd
Akšam	Akšam	Npfsg
Akšam	Akšam	Npfsi
Akšam	Akšam	Npfsl
Akšam	Akšam	Npfsn
Akšam	Akšam	Npfsv
Akšame	Akšam	Npmpa
Akšamima	Akšam	Npmpd
Akšama	Akšam	Npmpg
Akšamima	Akšam	Npmpi
Akšamima	Akšam	Npmpl
Akšami	Akšam	Npmpn
Akšami	Akšam	Npmpv
Akšama	Akšam	Npmsay
Akšamu	Akšam	Npmsd
Akšama	Akšam	Npmsg
Akšamom	Akšam	Npmsi
Akšamu	Akšam	Npmsl
Akšam	Akšam	Npmsn
Akšame	Akšam	Npmsv
Aladić	Aladić	Npfpa
Aladić	Aladić	Npfpd
Aladić	Aladić	Npfpg
Aladić	Aladić	Npfpi
Aladić	Aladić	Npfpl
Aladić	Aladić	Npfpn
Aladić	Aladić	Npfpv
Aladić	Aladić	Npfsa
Aladić	Aladić	Npfsd
Aladić	Aladić	Npfsg
Aladić	Aladić	Npfsi
Aladić	Aladić	Npfsl
Aladić	Aladić	Npfsn
Aladić	Aladić	Npfsv
Aladiće	Aladić	Npmpa
Aladićima	Aladić	Npmpd
Aladića	Aladić	Npmpg
Aladićima	Aladić	Npmpi
Aladićima	Aladić	Npmpl
Aladići	Aladić	Npmpn
Aladići	Aladić	Npmpv
Aladića	Aladić	Npmsay
Aladiću	Aladić	Npmsd
Aladića	Aladić	Npmsg
Aladićem	Aladić	Npmsi
Aladiću	Aladić	Npmsl
Aladić	Aladić	Npmsn
Aladiću	Aladić	Npmsv
Aladžić	Aladžić	Npfpa
Aladžić	Aladžić	Npfpd
Aladžić	Aladžić	Npfpg
Aladžić	Aladžić	Npfpi
Aladžić	Aladžić	Npfpl
Aladžić	Aladžić	Npfpn
